"# Table 7. Coarsening at 2 at.%, 36000 sweeps, two starting",configurations. Both converge on a single domain.
start,cycle,n_clusters,largest,largest_fraction,E_per_site_eV,alpha_In_Cu
random,24000,1,1280,1.0000,-0.009141,-28.05
random,24200,1,1280,1.0000,-0.009112,-27.93
random,24400,1,1280,1.0000,-0.009110,-27.92
random,24600,1,1280,1.0000,-0.009140,-28.04
random,24800,1,1280,1.0000,-0.009110,-27.92
random,25000,1,1280,1.0000,-0.009112,-27.93
random,25200,1,1280,1.0000,-0.009110,-27.92
random,25400,1,1280,1.0000,-0.009140,-28.04
random,25600,1,1280,1.0000,-0.009138,-28.04
random,25800,1,1280,1.0000,-0.009140,-28.04
random,26000,1,1280,1.0000,-0.009140,-28.04
random,26200,1,1280,1.0000,-0.009140,-28.04
random,26400,1,1280,1.0000,-0.009140,-28.04
random,26600,1,1280,1.0000,-0.009141,-28.05
random,26800,1,1280,1.0000,-0.009141,-28.05
random,27000,1,1280,1.0000,-0.009144,-28.06
random,27200,1,1280,1.0000,-0.009144,-28.06
random,27400,1,1280,1.0000,-0.009143,-28.06
random,27600,1,1280,1.0000,-0.009106,-27.90
random,27800,1,1280,1.0000,-0.009196,-27.94
random,28000,1,1280,1.0000,-0.009218,-27.95
random,28200,1,1280,1.0000,-0.009218,-27.95
random,28400,1,1280,1.0000,-0.009257,-27.94
random,28600,1,1280,1.0000,-0.009144,-28.06
random,28800,1,1280,1.0000,-0.009104,-27.89
random,29000,1,1280,1.0000,-0.009303,-27.96
random,29200,1,1280,1.0000,-0.009324,-27.96
random,29400,1,1280,1.0000,-0.009324,-27.96
random,29600,1,1280,1.0000,-0.009324,-27.96
random,29800,1,1280,1.0000,-0.009324,-27.96
random,30000,1,1280,1.0000,-0.009323,-27.96
random,30200,1,1280,1.0000,-0.009323,-27.96
random,30400,1,1280,1.0000,-0.009323,-27.96
random,30600,1,1280,1.0000,-0.009323,-27.96
random,30800,1,1280,1.0000,-0.009323,-27.96
random,31000,1,1280,1.0000,-0.009323,-27.96
random,31200,1,1280,1.0000,-0.009323,-27.96
random,31400,1,1280,1.0000,-0.009323,-27.96
random,31600,1,1280,1.0000,-0.009323,-27.96
random,31800,1,1280,1.0000,-0.009324,-27.96
random,32000,1,1280,1.0000,-0.009324,-27.96
random,32200,1,1280,1.0000,-0.009146,-28.07
random,32400,1,1280,1.0000,-0.009324,-27.96
random,32600,1,1280,1.0000,-0.009324,-27.96
random,32800,1,1280,1.0000,-0.009324,-27.96
random,33000,1,1280,1.0000,-0.009324,-27.96
random,33200,1,1280,1.0000,-0.009324,-27.96
random,33400,1,1280,1.0000,-0.009323,-27.96
random,33600,1,1280,1.0000,-0.009323,-27.96
random,33800,1,1280,1.0000,-0.009323,-27.96
random,34000,1,1280,1.0000,-0.009324,-27.96
random,34200,1,1280,1.0000,-0.009324,-27.96
random,34400,1,1280,1.0000,-0.009324,-27.96
random,34600,1,1280,1.0000,-0.009324,-27.96
random,34800,1,1280,1.0000,-0.009324,-27.96
random,35000,1,1280,1.0000,-0.009324,-27.96
random,35200,1,1280,1.0000,-0.009324,-27.96
random,35400,1,1280,1.0000,-0.009324,-27.96
random,35600,1,1280,1.0000,-0.009324,-27.96
random,35800,1,1280,1.0000,-0.009324,-27.96
single_ball,0,163,1001,0.7820,0.014140,-17.54
single_ball,200,2,1278,0.9984,-0.002889,-25.16
single_ball,400,1,1280,1.0000,-0.003710,-25.54
single_ball,600,1,1280,1.0000,-0.003992,-25.01
single_ball,800,1,1280,1.0000,-0.004445,-25.55
single_ball,1000,1,1280,1.0000,-0.004723,-25.86
single_ball,1200,1,1280,1.0000,-0.004873,-26.07
single_ball,1400,1,1280,1.0000,-0.005115,-26.32
single_ball,1600,1,1280,1.0000,-0.005194,-26.40
single_ball,1800,1,1280,1.0000,-0.005328,-26.53
single_ball,2000,1,1280,1.0000,-0.005334,-26.56
single_ball,2200,1,1280,1.0000,-0.005381,-26.58
single_ball,2400,1,1280,1.0000,-0.005428,-26.70
single_ball,2600,1,1280,1.0000,-0.005539,-26.73
single_ball,2800,1,1280,1.0000,-0.005568,-26.77
single_ball,3000,1,1280,1.0000,-0.005407,-26.70
single_ball,3200,1,1280,1.0000,-0.005562,-26.75
single_ball,3400,1,1280,1.0000,-0.005595,-26.80
single_ball,3600,1,1280,1.0000,-0.005587,-26.77
single_ball,3800,1,1280,1.0000,-0.005522,-26.32
single_ball,4000,1,1280,1.0000,-0.005644,-26.84
single_ball,4200,1,1280,1.0000,-0.005666,-26.85
single_ball,4400,1,1280,1.0000,-0.005651,-26.53
single_ball,4600,1,1280,1.0000,-0.005793,-26.70
single_ball,4800,1,1280,1.0000,-0.005866,-26.83
single_ball,5000,1,1280,1.0000,-0.005872,-26.77
single_ball,5200,1,1280,1.0000,-0.005886,-26.83
single_ball,5400,1,1280,1.0000,-0.005900,-26.81
single_ball,5600,1,1280,1.0000,-0.005922,-26.90
single_ball,5800,1,1280,1.0000,-0.005836,-27.05
single_ball,6000,1,1280,1.0000,-0.005861,-26.81
single_ball,6200,1,1280,1.0000,-0.005962,-26.90
single_ball,6400,1,1280,1.0000,-0.005987,-27.00
single_ball,6600,1,1280,1.0000,-0.006007,-27.00
single_ball,6800,1,1280,1.0000,-0.006037,-27.04
single_ball,7000,1,1280,1.0000,-0.006035,-27.03
single_ball,7200,1,1280,1.0000,-0.006040,-27.05
single_ball,7400,1,1280,1.0000,-0.006046,-27.08
single_ball,7600,1,1280,1.0000,-0.005999,-27.14
single_ball,7800,1,1280,1.0000,-0.006136,-27.20
single_ball,8000,1,1280,1.0000,-0.006090,-27.18
single_ball,8200,1,1280,1.0000,-0.006203,-27.31
single_ball,8400,1,1280,1.0000,-0.006234,-27.36
single_ball,8600,1,1280,1.0000,-0.006299,-27.29
single_ball,8800,1,1280,1.0000,-0.006360,-27.29
single_ball,9000,1,1280,1.0000,-0.006387,-27.31
single_ball,9200,1,1280,1.0000,-0.006239,-27.29
single_ball,9400,1,1280,1.0000,-0.006404,-27.30
single_ball,9600,1,1280,1.0000,-0.006416,-27.35
single_ball,9800,1,1280,1.0000,-0.006427,-27.31
single_ball,10000,1,1280,1.0000,-0.006432,-27.33
single_ball,10200,1,1280,1.0000,-0.006455,-27.35
single_ball,10400,1,1280,1.0000,-0.006477,-27.35
single_ball,10600,1,1280,1.0000,-0.006445,-27.39
single_ball,10800,1,1280,1.0000,-0.006551,-27.40
single_ball,11000,1,1280,1.0000,-0.006624,-27.46
single_ball,11200,1,1280,1.0000,-0.006691,-27.48
single_ball,11400,1,1280,1.0000,-0.006719,-27.52
single_ball,11600,1,1280,1.0000,-0.006742,-27.53
single_ball,11800,1,1280,1.0000,-0.006736,-27.50
single_ball,12000,1,1280,1.0000,-0.006747,-27.55
single_ball,12200,1,1280,1.0000,-0.006749,-27.55
